abbrev,1.1.1,ISC,Approved,http://en.wikipedia.org/wiki/ISC_license,"",Unknown
accessors-smart,1.2,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
acorn,4.0.13,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/ternjs/acorn
acorn,5.7.3,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/acornjs/acorn
acorn-dynamic-import,2.0.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/kesne/acorn-dynamic-import
actioncable,5.0.0.1,MIT,Approved,http://opensource.org/licenses/mit-license,WebSocket framework for Rails.,http://rubyonrails.org
actioncable,5.0.6,MIT,Approved,http://opensource.org/licenses/mit-license,WebSocket framework for Rails.,http://rubyonrails.org
actioncable,5.1.3,MIT,Approved,http://opensource.org/licenses/mit-license,WebSocket framework for Rails.,http://rubyonrails.org
actioncable,5.2.2.1,MIT,Approved,http://opensource.org/licenses/mit-license,WebSocket framework for Rails.,http://rubyonrails.org
actionmailer,3.2.22.5,MIT,Approved,http://opensource.org/licenses/mit-license,"Email composition, delivery, and receiving framework (part of Rails).",http://www.rubyonrails.org
actionmailer,4.2.10,MIT,Approved,http://opensource.org/licenses/mit-license,"Email composition, delivery, and receiving framework (part of Rails).",http://www.rubyonrails.org
actionmailer,4.2.11.1,MIT,Approved,http://opensource.org/licenses/mit-license,"Email composition, delivery, and receiving framework (part of Rails).",http://www.rubyonrails.org
actionmailer,4.2.11,MIT,Approved,http://opensource.org/licenses/mit-license,"Email composition, delivery, and receiving framework (part of Rails).",http://www.rubyonrails.org
actionmailer,4.2.6,MIT,Approved,http://opensource.org/licenses/mit-license,"Email composition, delivery, and receiving framework (part of Rails).",http://www.rubyonrails.org
actionmailer,4.2.7.1,MIT,Approved,http://opensource.org/licenses/mit-license,"Email composition, delivery, and receiving framework (part of Rails).",http://www.rubyonrails.org
actionmailer,5.0.0.1,MIT,Approved,http://opensource.org/licenses/mit-license,"Email composition, delivery, and receiving framework (part of Rails).",http://rubyonrails.org
actionmailer,5.0.6,MIT,Approved,http://opensource.org/licenses/mit-license,"Email composition, delivery, and receiving framework (part of Rails).",http://rubyonrails.org
actionmailer,5.1.3,MIT,Approved,http://opensource.org/licenses/mit-license,"Email composition, delivery, and receiving framework (part of Rails).",http://rubyonrails.org
actionmailer,5.2.2.1,MIT,Approved,http://opensource.org/licenses/mit-license,"Email composition, delivery, and receiving framework (part of Rails).",http://rubyonrails.org
actionpack,3.2.22.5,MIT,Approved,http://opensource.org/licenses/mit-license,Web-flow and rendering framework putting the VC in MVC (part of Rails).,http://www.rubyonrails.org
actionpack,4.2.10,MIT,Approved,http://opensource.org/licenses/mit-license,Web-flow and rendering framework putting the VC in MVC (part of Rails).,http://www.rubyonrails.org
actionpack,4.2.11.1,MIT,Approved,http://opensource.org/licenses/mit-license,Web-flow and rendering framework putting the VC in MVC (part of Rails).,http://www.rubyonrails.org
actionpack,4.2.11,MIT,Approved,http://opensource.org/licenses/mit-license,Web-flow and rendering framework putting the VC in MVC (part of Rails).,http://www.rubyonrails.org
actionpack,4.2.6,MIT,Approved,http://opensource.org/licenses/mit-license,Web-flow and rendering framework putting the VC in MVC (part of Rails).,http://www.rubyonrails.org
actionpack,4.2.7.1,MIT,Approved,http://opensource.org/licenses/mit-license,Web-flow and rendering framework putting the VC in MVC (part of Rails).,http://www.rubyonrails.org
actionpack,5.0.0.1,MIT,Approved,http://opensource.org/licenses/mit-license,Web-flow and rendering framework putting the VC in MVC (part of Rails).,http://rubyonrails.org
actionpack,5.0.6,MIT,Approved,http://opensource.org/licenses/mit-license,Web-flow and rendering framework putting the VC in MVC (part of Rails).,http://rubyonrails.org
actionpack,5.1.3,MIT,Approved,http://opensource.org/licenses/mit-license,Web-flow and rendering framework putting the VC in MVC (part of Rails).,http://rubyonrails.org
actionpack,5.2.2.1,MIT,Approved,http://opensource.org/licenses/mit-license,Web-flow and rendering framework putting the VC in MVC (part of Rails).,http://rubyonrails.org
actionview,4.2.10,MIT,Approved,http://opensource.org/licenses/mit-license,Rendering framework putting the V in MVC (part of Rails).,http://www.rubyonrails.org
actionview,4.2.11.1,MIT,Approved,http://opensource.org/licenses/mit-license,Rendering framework putting the V in MVC (part of Rails).,http://www.rubyonrails.org
actionview,4.2.11,MIT,Approved,http://opensource.org/licenses/mit-license,Rendering framework putting the V in MVC (part of Rails).,http://www.rubyonrails.org
actionview,4.2.6,MIT,Approved,http://opensource.org/licenses/mit-license,Rendering framework putting the V in MVC (part of Rails).,http://www.rubyonrails.org
actionview,4.2.7.1,MIT,Approved,http://opensource.org/licenses/mit-license,Rendering framework putting the V in MVC (part of Rails).,http://www.rubyonrails.org
actionview,5.0.0.1,MIT,Approved,http://opensource.org/licenses/mit-license,Rendering framework putting the V in MVC (part of Rails).,http://rubyonrails.org
actionview,5.0.6,MIT,Approved,http://opensource.org/licenses/mit-license,Rendering framework putting the V in MVC (part of Rails).,http://rubyonrails.org
actionview,5.1.3,MIT,Approved,http://opensource.org/licenses/mit-license,Rendering framework putting the V in MVC (part of Rails).,http://rubyonrails.org
actionview,5.2.2.1,MIT,Approved,http://opensource.org/licenses/mit-license,Rendering framework putting the V in MVC (part of Rails).,http://rubyonrails.org
activation,1.1.1,COMMON DEVELOPMENT AND DISTRIBUTION LICENSE (CDDL) Version 1.0,Approved,"","",""
activeadmin,2.4.0,MIT,Approved,http://opensource.org/licenses/mit-license,Active Admin is a Ruby on Rails plugin for generating administration style interfaces. It abstracts common business application patterns to make it simple for developers to implement beautiful and elegant interfaces with very little effort.,https://activeadmin.info
active_enum,1.0.0.rc1,MIT,Approved,http://opensource.org/licenses/mit-license,Define enum classes in Rails and use them to enumerate ActiveRecord attributes,http://github.com/adzap/active_enum
activejob,4.2.10,MIT,Approved,http://opensource.org/licenses/mit-license,Job framework with pluggable queues.,http://www.rubyonrails.org
activejob,4.2.11.1,MIT,Approved,http://opensource.org/licenses/mit-license,Job framework with pluggable queues.,http://www.rubyonrails.org
activejob,4.2.11,MIT,Approved,http://opensource.org/licenses/mit-license,Job framework with pluggable queues.,http://www.rubyonrails.org
activejob,4.2.6,MIT,Approved,http://opensource.org/licenses/mit-license,Job framework with pluggable queues.,http://www.rubyonrails.org
activejob,4.2.7.1,MIT,Approved,http://opensource.org/licenses/mit-license,Job framework with pluggable queues.,http://www.rubyonrails.org
activejob,5.0.0.1,MIT,Approved,http://opensource.org/licenses/mit-license,Job framework with pluggable queues.,http://rubyonrails.org
activejob,5.0.6,MIT,Approved,http://opensource.org/licenses/mit-license,Job framework with pluggable queues.,http://rubyonrails.org
activejob,5.1.3,MIT,Approved,http://opensource.org/licenses/mit-license,Job framework with pluggable queues.,http://rubyonrails.org
activejob,5.2.2.1,MIT,Approved,http://opensource.org/licenses/mit-license,Job framework with pluggable queues.,http://rubyonrails.org
activemodel,3.2.22.5,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit for building modeling frameworks (part of Rails).,http://www.rubyonrails.org
activemodel,4.2.10,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit for building modeling frameworks (part of Rails).,http://www.rubyonrails.org
activemodel,4.2.11.1,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit for building modeling frameworks (part of Rails).,http://www.rubyonrails.org
activemodel,4.2.11,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit for building modeling frameworks (part of Rails).,http://www.rubyonrails.org
activemodel,4.2.6,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit for building modeling frameworks (part of Rails).,http://www.rubyonrails.org
activemodel,4.2.7.1,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit for building modeling frameworks (part of Rails).,http://www.rubyonrails.org
activemodel,5.0.0.1,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit for building modeling frameworks (part of Rails).,http://rubyonrails.org
activemodel,5.0.6,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit for building modeling frameworks (part of Rails).,http://rubyonrails.org
activemodel,5.1.3,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit for building modeling frameworks (part of Rails).,http://rubyonrails.org
activemodel,5.2.2.1,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit for building modeling frameworks (part of Rails).,http://rubyonrails.org
activerecord,3.2.22.5,MIT,Approved,http://opensource.org/licenses/mit-license,Object-relational mapper framework (part of Rails).,http://www.rubyonrails.org
activerecord,4.2.10,MIT,Approved,http://opensource.org/licenses/mit-license,Object-relational mapper framework (part of Rails).,http://www.rubyonrails.org
activerecord,4.2.11.1,MIT,Approved,http://opensource.org/licenses/mit-license,Object-relational mapper framework (part of Rails).,http://www.rubyonrails.org
activerecord,4.2.11,MIT,Approved,http://opensource.org/licenses/mit-license,Object-relational mapper framework (part of Rails).,http://www.rubyonrails.org
activerecord,4.2.6,MIT,Approved,http://opensource.org/licenses/mit-license,Object-relational mapper framework (part of Rails).,http://www.rubyonrails.org
activerecord,4.2.7.1,MIT,Approved,http://opensource.org/licenses/mit-license,Object-relational mapper framework (part of Rails).,http://www.rubyonrails.org
activerecord,5.0.0.1,MIT,Approved,http://opensource.org/licenses/mit-license,Object-relational mapper framework (part of Rails).,http://rubyonrails.org
activerecord,5.0.6,MIT,Approved,http://opensource.org/licenses/mit-license,Object-relational mapper framework (part of Rails).,http://rubyonrails.org
activerecord,5.1.3,MIT,Approved,http://opensource.org/licenses/mit-license,Object-relational mapper framework (part of Rails).,http://rubyonrails.org
activerecord,5.2.2.1,MIT,Approved,http://opensource.org/licenses/mit-license,Object-relational mapper framework (part of Rails).,http://rubyonrails.org
activerecord5-redshift-adapter,0.0.1,MIT,Approved,http://opensource.org/licenses/mit-license,Amazon Redshift adapter for ActiveRecord,https://github.com/ConsultingMD/activerecord5-redshift-adapter
activerecord_any_of,1.4,MIT,Approved,http://opensource.org/licenses/mit-license,Mongoid's any_of like implementation for activerecord,https://github.com/oelmekki/activerecord_any_of
activerecord-nulldb-adapter,0.3.9,MIT,Approved,http://opensource.org/licenses/mit-license,The Null Object pattern as applied to ActiveRecord database adapters,http://github.com/nulldb/nulldb
activerecord-postgis-adapter,3.1.4,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,"ActiveRecord adapter for PostGIS, based on RGeo.",http://github.com/rgeo/activerecord-postgis-adapter
activeresource,3.2.22.5,MIT,Approved,http://opensource.org/licenses/mit-license,REST modeling framework (part of Rails).,http://www.rubyonrails.org
activestorage,5.2.2.1,MIT,Approved,http://opensource.org/licenses/mit-license,Local and cloud file storage framework.,http://rubyonrails.org
activesupport,3.2.22.5,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit of support libraries and Ruby core extensions extracted from the Rails framework.,http://www.rubyonrails.org
activesupport,4.2.10,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit of support libraries and Ruby core extensions extracted from the Rails framework.,http://www.rubyonrails.org
activesupport,4.2.11.1,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit of support libraries and Ruby core extensions extracted from the Rails framework.,http://www.rubyonrails.org
activesupport,4.2.11,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit of support libraries and Ruby core extensions extracted from the Rails framework.,http://www.rubyonrails.org
activesupport,4.2.6,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit of support libraries and Ruby core extensions extracted from the Rails framework.,http://www.rubyonrails.org
activesupport,4.2.7.1,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit of support libraries and Ruby core extensions extracted from the Rails framework.,http://www.rubyonrails.org
activesupport,5.0.0.1,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit of support libraries and Ruby core extensions extracted from the Rails framework.,http://rubyonrails.org
activesupport,5.0.6,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit of support libraries and Ruby core extensions extracted from the Rails framework.,http://rubyonrails.org
activesupport,5.1.3,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit of support libraries and Ruby core extensions extracted from the Rails framework.,http://rubyonrails.org
activesupport,5.2.2.1,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit of support libraries and Ruby core extensions extracted from the Rails framework.,http://rubyonrails.org
