cloud.google.com/go,v0.38.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
github.com/aws/aws-sdk-go,v1.33.17,"Apache 2.0,New BSD",Approved,"http://www.apache.org/licenses/LICENSE-2.0.txt,http://opensource.org/licenses/BSD-3-Clause","",""
github.com/banzaicloud/k8s-objectmatcher,v1.4.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
github.com/beorn7/perks,v1.0.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
github.com/davecgh/go-spew,v1.1.1,ISC,Approved,http://en.wikipedia.org/wiki/ISC_license,"",""
github.com/evanphx/json-patch,v4.5.0,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
github.com/fsnotify/fsnotify,v1.4.9,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
github.com/gogo/protobuf,v1.3.1,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
github.com/golang/groupcache,v0.0.0-20190702054246-869f871628b6,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
github.com/golang/protobuf,v1.4.2,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
github.com/go-logr/logr,v0.1.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
github.com/go-logr/zapr,v0.1.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
github.com/googleapis/gnostic,v0.3.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
github.com/google/go-cmp,v0.4.0,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
github.com/google/gofuzz,v1.1.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
github.com/google/uuid,v1.1.1,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
github.com/goph/emperror,v0.17.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
github.com/hashicorp/golang-lru,v0.5.4,Mozilla Public License 2.0,Approved,https://www.mozilla.org/media/MPL/2.0/index.815ca599c9df.txt,"",""
github.com/imdario/mergo,v0.3.7,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
github.com/jmespath/go-jmespath,v0.3.0,unknown,Approved,"","",""
github.com/json-iterator/go,v1.1.10,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
github.com/matttproud/golang_protobuf_extensions,v1.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
github.com/modern-go/concurrent,v0.0.0-20180306012644-bacd9c7ef1dd,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
github.com/modern-go/reflect2,v1.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
github.com/pkg/errors,v0.9.1,Simplified BSD,Approved,http://opensource.org/licenses/bsd-license,"",""
github.com/prometheus/client_golang,v1.0.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
github.com/prometheus/client_model,v0.2.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
github.com/prometheus/common,v0.7.0,"Apache 2.0,New BSD",Approved,"http://www.apache.org/licenses/LICENSE-2.0.txt,http://opensource.org/licenses/BSD-3-Clause","",""
github.com/prometheus/procfs,v0.0.11,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
github.com/sirupsen/logrus,v1.6.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
github.com/spf13/pflag,v1.0.5,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
golang.org/x/crypto,v0.0.0-20200220183623-bac4c82f6975,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
golang.org/x/net,v0.0.0-20200520004742-59133d7f0dd7,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
golang.org/x/oauth2,v0.0.0-20190604053449-0f29369cfe45,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
golang.org/x/sys,v0.0.0-20200519105757-fe76b779f299,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
golang.org/x/text,v0.3.3,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
golang.org/x/time,v0.0.0-20191024005414-555d28b269f0,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
gomodules.xyz/jsonpatch/v2,v2.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
google.golang.org/protobuf,v1.23.0,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
gopkg.in/inf.v0,v0.9.1,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
gopkg.in/yaml.v2,v2.3.0,"Apache 2.0,MIT",Approved,"http://www.apache.org/licenses/LICENSE-2.0.txt,http://opensource.org/licenses/mit-license","",""
go.uber.org/atomic,v1.4.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
go.uber.org/multierr,v1.1.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
go.uber.org/zap,v1.10.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
