actionmailer,4.2.11,MIT,Approved,http://opensource.org/licenses/mit-license,"Email composition, delivery, and receiving framework (part of Rails).",http://www.rubyonrails.org
actionpack,4.2.11,MIT,Approved,http://opensource.org/licenses/mit-license,Web-flow and rendering framework putting the VC in MVC (part of Rails).,http://www.rubyonrails.org
actionview,4.2.11,MIT,Approved,http://opensource.org/licenses/mit-license,Rendering framework putting the V in MVC (part of Rails).,http://www.rubyonrails.org
activejob,4.2.11,MIT,Approved,http://opensource.org/licenses/mit-license,Job framework with pluggable queues.,http://www.rubyonrails.org
activemodel,4.2.11,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit for building modeling frameworks (part of Rails).,http://www.rubyonrails.org
activerecord,4.2.11,MIT,Approved,http://opensource.org/licenses/mit-license,Object-relational mapper framework (part of Rails).,http://www.rubyonrails.org
activesupport,4.2.11,MIT,Approved,http://opensource.org/licenses/mit-license,A toolkit of support libraries and Ruby core extensions extracted from the Rails framework.,http://www.rubyonrails.org
arel,6.0.4,MIT,Approved,http://opensource.org/licenses/mit-license,Arel Really Exasperates Logicians  Arel is a SQL AST manager for Ruby,https://github.com/rails/arel
aws-eventstream,1.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS Event Stream Library,http://github.com/aws/aws-sdk-ruby
aws-partitions,1.128.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"Provides information about AWS partitions, regions, and services.",http://github.com/aws/aws-sdk-ruby
aws-sdk,3.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby,http://github.com/aws/aws-sdk-ruby
aws-sdk-acm,1.14.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - ACM,http://github.com/aws/aws-sdk-ruby
aws-sdk-acmpca,1.8.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - ACM-PCA,http://github.com/aws/aws-sdk-ruby
aws-sdk-alexaforbusiness,1.15.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - Alexa For Business,http://github.com/aws/aws-sdk-ruby
aws-sdk-amplify,1.0.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - Amplify,http://github.com/aws/aws-sdk-ruby
aws-sdk-apigateway,1.23.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - Amazon API Gateway,http://github.com/aws/aws-sdk-ruby
aws-sdk-apigatewaymanagementapi,1.0.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - AmazonApiGatewayManagementApi,http://github.com/aws/aws-sdk-ruby
aws-sdk-apigatewayv2,1.0.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - AmazonApiGatewayV2,http://github.com/aws/aws-sdk-ruby
aws-sdk-applicationautoscaling,1.16.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - Application Auto Scaling,http://github.com/aws/aws-sdk-ruby
aws-sdk-applicationdiscoveryservice,1.8.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - AWS Application Discovery Service,http://github.com/aws/aws-sdk-ruby
aws-sdk-appmesh,1.0.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - AWS App Mesh,http://github.com/aws/aws-sdk-ruby
aws-sdk-appstream,1.19.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - Amazon AppStream,http://github.com/aws/aws-sdk-ruby
aws-sdk-appsync,1.9.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - AWSAppSync,http://github.com/aws/aws-sdk-ruby
aws-sdk-athena,1.7.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - Amazon Athena,http://github.com/aws/aws-sdk-ruby
aws-sdk-autoscaling,1.13.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - Auto Scaling,http://github.com/aws/aws-sdk-ruby
aws-sdk-autoscalingplans,1.8.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - AWS Auto Scaling Plans,http://github.com/aws/aws-sdk-ruby
aws-sdk-batch,1.12.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - AWS Batch,http://github.com/aws/aws-sdk-ruby
aws-sdk-budgets,1.15.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - AWSBudgets,http://github.com/aws/aws-sdk-ruby
aws-sdk-chime,1.2.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - Amazon Chime,http://github.com/aws/aws-sdk-ruby
aws-sdk-cloud9,1.7.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - AWS Cloud9,http://github.com/aws/aws-sdk-ruby
aws-sdk-clouddirectory,1.11.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,AWS SDK for Ruby - Amazon CloudDirectory,http://github.com/aws/aws-sdk-ruby
